[Species]	[Gender]	[Name]	[Surname]	[ID]	[Birthday]	[Birthplace]	[Job]	[Orientation]	[Role]	[Pose]	[Height/Length (cm)]	[Weight/Mass (Kg)]	[Penis/Vulva Max Size (cm)]	[Font Color]	[English/Japanese Voice]	[Characteristic]	[MBTI]	[Loves]	[Hates]	[Description]	[HP]	[AT]	[DF]	[SA]	[SD]	[SP]	[Level]	[Type]	[Hidden Power]	[Nature]	[Items]	[Moves]	[Finisher]	[Ability]	[Rare Quality]	[Enlightenment]	[Strength]	[Weakness]	[Connections]
Absol	Female	Yonaka	Fubuki	92871755	23/12/2003	WOD, Japan, Kansai, Johto	Cipher and Shadow Pokemon Researcher	Hetero	Sub	Bottom	115	40	38	Zapfino #0e13f6	Caitlinn Glass/Megumi Sato	Quick to flee	INFP	Leppa berries, Ice Types, Foxes	Shadows, Cipher, Arguments	Deep sapphire eyes, blue skin, snow white fur	50	144	50	70	50	100	96	Dark	Ice	Docile	Carubyncle: Red gem slotted in her scythe, grants eternal youth. ~ Wisp Pendant: Necklace crafted by Storm Fall, automatically turns Shinkage off ~ Falheria's Light: Bracelet that turns off a foe Shadow going in Reverse mode. Has a Madonna - Frozen musicbox built in.	Night Slash: (70/AT/Dark) +1 Crit Chance ~ Swords Dance: (Normal) +2 AT ~ Obstruction: (Parry/Dark) -1 DF to foe if hit ~ Play Rough: (90/AT/Fairy) 10% Chance -1 AT to foe	Absolute Zero: (170/AT/Ice) Uses foe's SD, always Freezes	Justified: +1 AT if hit by Dark move	Emotion: Team is immune to Insane, Confusion and Flinching	Shinkage: Turn Shadow type, moves purify Shadow types instead of damaging them. Moves can hit wrong target, but Shinkage can be turned off by calling Yon's name.	Immense attack, and the ability to boost it quickly, gives Yon a Deoxys-like sweeping potential.	Glass cannon, cannot Megaevolve	Boyfriend: Averly Lamanna ~ Trainer: Niko Harmonia Gropius ~ Adopted Daughter: Kouri Fubuki
Absol	Male			36905921	14/10/1989																								Bug	Naive					Riled Up: Boosts AT and SA once when hit by an enemy.	Megaevolution: Form Change Enlightenment			
Arceus	Unknown			26732843	02/07/1987																								Ice	Naughty		Judgement:	Thousand Arms (Normal) Bypass, 10 turn charge, OHKO's all foes		Evasive Rhythm: The team can dodge multi hit attacks much easier.	None			
Aron Lairon Aggron	Male			52586810	17/09/1982																								Ghost	Hardy					Enlightened: Teammates can use Enlightenments immediately.	Megaevolution: Form Change Enlightenment			
Audino	Female	Jen		89068671	20/01/2003																								Electric	Gentle		Secret Power: (70/AT/Normal) Effect changes from terrain			Notorious Restoration: Items restore more HP and Belly.	Megaevolution: Form Change Enlightenment			
Axew Fraxure Haxorus	Male	Senpu	Tengoku	87181652	17/04/1999	WOL, Mist Continent	Tengoku Commander	Hetero	Dom	Top	204	125	76	Angelized #f2174a	Sean Chiplock/Shintaro Asanuma	Quick tempered	ISTJ	Metallurgy, Nezumi, Hankari	His Tusks, Being Challenged, Focus Sashes		75	150	90	60	70	96	66	Dragon	Grass	Naughty	Lum Berry: Cures any status condition.	Swords Dance: (Normal) +2 AT ~ Outrage (120/AT/Dragon) Lasts 2-3 turns, Confuses user ~ Earthquake: (100/AT/Ground) 2X Damage on digging foes ~ Poison Jab: (80/AT/Poison) 30% Poison Chance	Thor Axe (200/AT/Steel) 2X damage on digging foes	Mold Breaker: Moves ignore abilities	Shared Happiness: If a teammate's status condition is healed, it also heals the whole team's status conditions.	None			
Blitzle Zebstrika	Male			80954556	11/12/1989																								Normal	Bold					Notorious Healing: The rate at which HP restores naturally is sped up. 	None			
Buizel Floatzel	Male			13395065	23/05/1985																								Dragon	Impish					Squeeze Out: The whole team can squeeze extra PP once per battle.	None			
Bulbasaur Ivysaur Venusaur	Female			75434977	31/05/1973																								Ghost	Bashful					Mind Over Matter: Wonder tiles restore a bit of HP and heal status conditions.	Megaevolution: Form Change Enlightenment			
Buneary Lopunny	Female			54934769	11/04/1977																								Fairy	Impish		Return			Food Finder: Tiny Apples spawn much more often.	Megaevolution: Form Change Enlightenment			
