[Species]	[Gender]	[Name]	[Surname]	[ID]	[Birthday]	[Birthplace]	[Job]	[Orientation]	[Role]	[Pose]	[Height/Length (cm)]	[Weight/Mass (Kg)]	[Penis/Vulva Max Size (cm)]	[Font Color]	[English/Japanese Voice]	[Characteristic]	[MBTI]	[Loves]	[Hates]	[Description]	[HP]	[AT]	[DF]	[SA]	[SD]	[SP]	[Level]	[Type]	[Hidden Power]	[Nature]	[Items]	[Moves]	[Finisher]	[Ability]	[Rare Quality]	[Enlightenment]	[Strength]	[Weakness]	[Connections]
Absol	Female	Yonaka	Fubuki	P92871755	23/12/2003	WOD, Japan, Kansai, Johto	Cipher and Shadow Pokemon Researcher	Hetero	Sub	Bottom	115	40	38	Zapfino #0e13f6	Caitlinn Glass/Megumi Sato	Quick to flee	INFP	Leppa berries, Ice Types, Foxes	Shadows, Cipher, Arguments	Deep sapphire eyes, blue skin, snow white fur	50	144	50	70	50	100	96	Dark	Ice	Docile	Carubyncle: Red gem slotted in her scythe, grants eternal youth. ~ Wisp Pendant: Necklace crafted by Storm Fall, automatically turns Shinkage off ~ Falheria's Light: Bracelet that turns off a foe Shadow going in Reverse mode. Has a Madonna - Frozen musicbox built in.	Night Slash: (70/AT/Dark) +1 Crit Chance ~ Swords Dance: (Normal) +2 AT ~ Obstruction: (Parry/Dark) -1 DF to foe if hit ~ Play Rough: (90/AT/Fairy) 10% Chance -1 AT to foe	Absolute Zero: (170/AT/Ice) Uses foe's SD, always Freezes	Justified: +1 AT if hit by Dark move	Emotion: Team is immune to Insane, Confusion and Flinching	Shinkage: Turn Shadow type, moves purify Shadow types instead of damaging them. Moves can hit wrong target, but Shinkage can be turned off by calling Yon's name.	Immense attack, and the ability to boost it quickly, gives Yon a Deoxys-like sweeping potential.	Glass cannon, Megaevolution is VERY unstable due to Shinkage	Boyfriend: Averly Lamanna ~ Trainer: Niko Harmonia ~ Daughter: Kouri Fubuki
Absol	Male			H36905921	14/10/1989																								Bug	Naive	Absolite: Triggers Megaevolution				Riled Up: Boosts AT and SA once when hit by an enemy.	Megaevolution: Form Change Enlightenment			
Arceus	Unknown			P26732843	02/07/1987																								Ice	Naughty	Azure Flute: Triggers Omni ~ Arceusium Z: Turns Judgement into Divine Retribution during Omni ~ Rainbow Plate: Allows Arceus to change into any type	Judgement:	Thousand Arms (Normal) Bypass, 10 turn charge, OHKO's all foes		Evasive Rhythm: The team can dodge multi hit attacks much easier.	Omni: Form Change Enlightenment			
Aron Lairon Aggron	Male			H52586810	17/09/1982																								Ghost	Hardy	Aggronite: Triggers Megaevolution ~ Hard Stone: Boosts Rock moves ~ Rockium Z: Turns a Rock move into Continental Crush				Enlightened: Teammates can use Enlightenments immediately.	Megaevolution: Form Change Enlightenment			
Audino	Female	Jen		H52586810	20/01/2003																								Electric	Gentle	Audinite: Triggers Megaevolution ~ Heal Powder: Heals Status Conditions	Secret Power: (70/AT/Normal) Effect changes from terrain			Notorious Restoration: Items restore more HP and Belly.	Megaevolution: Form Change Enlightenment			
Axew Fraxure Haxorus	Male	Senpu	Tengoku	P87181652	26/04/2001	WOL, Mist Continent	Tengoku Commander	Hetero	Dom	Top	204	125	76	Angelized #f2174a	Sean Chiplock/Shintaro Asanuma	Quick tempered	ISTJ	Metallurgy, Flags, Post Town	His Tusks, Being Challenged, Focus Sashes		75	150	90	60	70	96	66	Dragon	Steel	Naughty	Hope Cape: Enhanced Reunion Cape that allows teleportation ~ Vexillum Pack: Holds Flags ~ Adventure Backpack: Allows Teams to hold more than 3 items	Swords Dance: (Normal) +2 AT ~ Outrage (120/AT/Dragon) Lasts 2-3 turns, Confuses user ~ Earthquake: (100/AT/Ground) 2X Damage on digging foes ~ Poison Jab: (80/AT/Poison) 30% Poison Chance	Thor Axe (200/AT/Steel) 2X damage on digging foes	Mold Breaker: Moves ignore abilities	Forge a Path: Consumes Belly to break down walls.	Chaaarge!: Team Attacks are replaced with Charge: Devastating, but might miss.	Excellent Wallbreaker with serious coverage.	Priority Revenge sweepers cripple him hard.	Friends: Dairou Tengoku, Tsutami Tengoku, Susanoo Tengoku ~ Rival: Nezumi Tengoku
Blitzle Zebstrika	Male			P80954556	11/12/1989																								Normal	Bold	Volt Saddle: +1 SP if held by Zebstrika				Notorious Healing: The rate at which HP restores naturally is sped up. 	None			
Buizel Floatzel	Female			P74501165	26/02/2004																								Dragon	Timid	Carubyncle: Red gem slotted in her forehead, grants eternal youth.				Shared Happiness: If a teammate's status condition is healed, it also heals the whole team's status conditions.	None			
Buizel Floatzel	Male			P13395065	23/05/1985			Bi																					Ice	Impish	Seal Case: Holds Seals				Squeeze Out: The whole team can squeeze extra PP once per battle.	None			
Bulbasaur Ivysaur Venusaur	Female			P75434977	31/05/1973																								Ghost	Bashful	Grassium Z: Turns a Grass move into Bloom Doom				Mind Over Matter: Wonder tiles restore a bit of HP and heal status conditions.	Megaevolution: Form Change Enlightenment			
Buneary Lopunny	Female			P54934769	11/04/1977										Jessica Straus/Eri Kitamura														Fairy	Impish	Ride Pager: Allows calling for Ride teams or Couriers	Return			Food Finder: Tiny Apples spawn much more often.	Megaevolution: Form Change Enlightenment			
Buzzwole	Unknown			P98432349	14/01/2000																								Grass	Naive	Buginium Z: Turns a Bug move into Savage Spinout ~ Macho Brace: Maxes out Ev's and Iv's in exchange of Speed				Evasive Rhythm: The team can dodge multi hit attacks much easier.	None			
Celebi	Female			P22189436	06/07/1991																								Ghost	Sassy	Power Seed (43): Allows changing a move's type to user's Hidden Power				Funnel Fun: Corridors restore HP faster.	None			
Charmander Charmeleon Charizard	Female			P98361684	29/07/1981																								Dragon	Naughty	Firium Z: Turns a Fire move into Inferno Overdrive				Wary Walk: The whole Team is immune to traps.	Megaevolution: Form Change Enlightenment			
Chatot	Male			P71964340	22/08/1996																								Ground	Serious	Music Box: Stores Songs	Confide			Friendly: Foes have a chance of temporarily fighting for the team. Doesn't boost recruit chance.	None			
Chespin Quilladin Chesnaught	Male			P44331636	21/08/1999																								Grass	Naughty	Ammo Belt: Holds Throwing Items				Strike Back: If anyone in the team is attacked from behind, the foe's AT and SA is lowered.	None			
Chikorita Bayleef Meganium	Female			P21751527	01/07/1986																								Poison	Hasty	Evergreen Leaf: +30% Power of healing moves				Squad Up: The bigger the team, the easier it becomes to recruit Pokemon.	None			
Chimchar Monferno Infernape	Male			P76148546	09/12/1996																								Dark	Naughty	Double Edge Knuckles: Fighting moves do 2X damage, but have 33% recoil				Link Boost: The power of linked moves is boosted.	None			
Cobalion	Male			P11317376	17/01/2008																								Ghost	Modest	Savior Cape: +1 DF and SD for each teammate wearing a Savior Cape	Sacred Sword			Narrow Focus: Moves used in corridors will never miss. 	None			
Conkeldurr	Male			P41145933	13/06/1996																								Water	Timid	Lagging Tail: Holder moves last				Riled Up: Boosts AT and SA once when hit by an enemy.	None			
Cranidos Rampardos	Male			P69719590	20/09/1973																								Dragon	Timid	Treasure Helmet: Can smash open Treasure Boxes				Recoil Boost: Moves that recoil do 2X damage.	None			
Cresselia	Female			P74332662	17/07/1973																								Ice	Calm	Lunar Wing: If held by Cresselia, Lunar Dance leaves 1 HP instead of fainting	Lunar Dance			Small Stomach: Anyone in the team can fill up their belly with any food.	None			
Cubone Marowak (Alola)	Male			H86300610	09/07/2008																								Psychic	Rash	Thick Club: 2X AT when held by Marowak ~ Amber Tear (12): Guarantees one recruit	Shadow Bone ~ Knock Off ~ Fling: (???/AT/Dark) Damage and effect depends on held item	None		Brawl: Teammates get a bit stronger when there are many foes.	None			
Cubone Marowak	Female	Awan	Eden	P52431933	25/10/1986	WOL, Air Continent	Eden Enforcer	Hetero	Dom	Top	99	44	23	Dutch #cebc7c	Chisa Suganuma/Ayumi Fujimura	Highly persistant	INTJ	Parents, Elderly, Her Skull	Children, Morse Code, Curses		60	88	110	50	80	44	75	Ground	Normal	Lax	Glory Band: Enhanced Twist Band that prevents all stats from lowering. ~ Cubonium Z: Turns Bonemerang into Mother's Help ~ Rescue Toolbox: Allows Teams to hold more than 3 items	Bonemerang (50/AT/Ground) Hits 2 times, bypasses Flying type ~ Bone Club (65/AT/Ground) 10% Flinch Chance ~ Bone Rush (25/AT/Ground) Hits 2-5 times ~ Stone Edge (100/AT/Rock) +1 Crit Chance	None	Rock Head: Immune to recoil	Small Stomach: Anyone in the team can fill up their belly with any food.	None	With Trick Room, can bludgeon foes pretty hard	Requires a lengthy setup to bring out her potential	Friends: Adam Eden, Eve Eden
Cutiefly Ribombee	Female			H86300610	13/03/1979																								Electric	Bold	Tiny Scarf: +1 EV				Shared Happiness: If a teammate's status condition is healed, it also heals the whole team's status conditions.	None			
