Category,Name,Description,Old Name,Old Description
,Master Ball,"The best Poké Ball with the ultimate level of performance. With it, you will catch any wild Pokémon without fail.",master-ball,Catches a wild Pokémon every time.
,Ultra Ball,An ultra-high-performance Poké Ball that provides a higher success rate for catching Pokémon than a Great Ball.,ultra-ball,Tries to catch a wild Pokémon.  Success rate is 2×.
,Great Ball,"A good, high-performance Poké Ball that provides a higher Pokémon catch rate than a standard Poké Ball.",great-ball,Tries to catch a wild Pokémon.  Success rate is 1.5×.
,Poké Ball,"A device for catching wild Pokémon. It’s thrown like a ball at a Pokémon, comfortably encapsulating its target.",poke-ball,Tries to catch a wild Pokémon.
,Safari Ball,A special Poké Ball that is used only in the Great Marsh. It is recognizable by the camouflage pattern decorating it.,safari-ball,Tries to catch a wild Pokémon in the Great Marsh or Safari Zone.  Success rate is 1.5×.
,Net Ball,A somewhat different Poké Ball that is more effective when attempting to catch Water- or Bug-type Pokémon.,net-ball,Tries to catch a wild Pokémon.  Success rate is 3× for water and bug Pokémon.
,Dive Ball,A somewhat different Poké Ball that works especially well when catching Pokémon that live underwater.,dive-ball,"Tries to catch a wild Pokémon. Success rate is 3.5× when underwater, fishing, or surfing."
,Nest Ball,A somewhat different Poké Ball that becomes more effective the lower the level of the wild Pokémon.,nest-ball,"Tries to catch a wild Pokémon.  Success rate is 3.9× for level 1 Pokémon, and drops steadily to 1× at level 30."
,Repeat Ball,A somewhat different Poké Ball that works especially well on a Pokémon species that has been caught before.,repeat-ball,Tries to catch a wild Pokémon.  Success rate is 3× for previously-caught Pokémon.
,Timer Ball,A somewhat different Poké Ball that becomes progressively more effective the more turns that are taken in battle.,timer-ball,"Tries to catch a wild Pokémon. Success rate increases by 0.1× (Gen V: 0.3×) every turn, to a max of 4×."
,Luxury Ball,A particularly comfortable Poké Ball that makes a wild Pokémon quickly grow friendlier after being caught.,luxury-ball,Tries to catch a wild Pokémon.  Caught Pokémon start with 200 happiness.
